Time,Cum_cases,Confirmed,Date,Date
1,1,1,16/03/2020,43906.00
2,1,0,17/03/2020,43907.00
3,2,1,18/03/2020,43908.00
4,2,0,19/03/2020,43909.00
5,2,0,20/03/2020,43910.00
6,3,1,21/03/2020,43911.00
7,3,0,22/03/2020,43912.00
8,3,0,23/03/2020,43913.00
9,3,0,24/03/2020,43914.00
10,3,0,25/03/2020,43915.00
11,3,0,26/03/2020,43916.00
12,3,0,27/03/2020,43917.00
13,3,0,28/03/2020,43918.00
14,3,0,29/03/2020,43919.00
15,3,0,30/03/2020,43920.00
16,3,0,31/03/2020,43921.00
17,6,3,01/04/2020,43922.00
18,6,0,02/04/2020,43923.00
19,7,1,03/04/2020,43924.00
20,10,3,04/04/2020,43925.00
21,13,3,05/04/2020,43926.00
22,14,1,06/04/2020,43927.00
23,14,0,07/04/2020,43928.00
24,31,17,08/04/2020,43929.00
25,31,0,09/04/2020,43930.00
26,37,6,10/04/2020,43931.00
27,48,11,11/04/2020,43932.00
28,50,2,12/04/2020,43933.00
29,59,9,13/04/2020,43934.00
30,59,0,14/04/2020,43935.00
31,59,0,15/04/2020,43936.00
32,59,0,16/04/2020,43937.00
33,76,17,17/04/2020,43938.00
34,76,0,18/04/2020,43939.00
35,91,15,19/04/2020,43940.00
36,99,8,20/04/2020,43941.00
37,101,2,21/04/2020,43942.00
38,101,0,22/04/2020,43943.00
39,101,0,23/04/2020,43944.00
40,117,16,24/04/2020,43945.00
41,120,3,25/04/2020,43946.00
42,124,4,26/04/2020,43947.00
43,124,0,27/04/2020,43948.00
44,141,17,28/04/2020,43949.00
45,141,0,29/04/2020,43950.00
46,141,0,30/04/2020,43951.00
47,152,11,01/05/2020,43952.00
48,154,2,02/05/2020,43953.00
49,158,4,03/05/2020,43954.00
50,166,8,04/05/2020,43955.00
51,170,4,05/05/2020,43956.00
52,178,8,06/05/2020,43957.00
53,189,11,07/05/2020,43958.00
54,199,10,08/05/2020,43959.00
55,199,0,09/05/2020,43960.00
56,199,0,10/05/2020,43961.00
57,211,12,11/05/2020,43962.00
58,211,0,12/05/2020,43963.00
59,213,2,13/05/2020,43964.00
60,215,2,14/05/2020,43965.00
61,219,4,15/05/2020,43966.00
62,223,4,16/05/2020,43967.00
63,226,3,17/05/2020,43968.00
64,229,3,18/05/2020,43969.00
65,233,4,19/05/2020,43970.00
66,238,5,20/05/2020,43971.00
67,240,2,21/05/2020,43972.00
68,249,9,22/05/2020,43973.00
69,255,6,23/05/2020,43974.00
70,265,10,24/05/2020,43975.00
71,265,0,25/05/2020,43976.00
72,266,1,26/05/2020,43977.00
73,266,0,27/05/2020,43978.00
74,269,3,28/05/2020,43979.00
75,273,4,29/05/2020,43980.00
76,280,7,30/05/2020,43981.00
77,288,8,31/05/2020,43982.00
78,296,8,01/06/2020,43983.00
79,311,15,02/06/2020,43984.00
80,316,5,03/06/2020,43985.00
81,321,5,04/06/2020,43986.00
82,334,13,05/06/2020,43987.00
83,345,11,06/06/2020,43988.00
84,359,14,07/06/2020,43989.00
85,370,11,08/06/2020,43990.00
86,383,13,09/06/2020,43991.00
87,397,14,10/06/2020,43992.00
88,410,13,11/06/2020,43993.00
89,421,11,12/06/2020,43994.00
90,446,25,13/06/2020,43995.00
91,458,12,14/06/2020,43996.00
92,498,40,15/06/2020,43997.00
93,509,11,16/06/2020,43998.00
94,516,7,17/06/2020,43999.00
95,542,26,18/06/2020,44000.00
96,581,39,19/06/2020,44001.00
97,601,20,20/06/2020,44002.00
98,626,25,21/06/2020,44003.00
99,650,24,22/06/2020,44004.00
100,652,2,23/06/2020,44005.00
101,662,10,24/06/2020,44006.00
102,681,19,25/06/2020,44007.00
103,684,3,26/06/2020,44008.00
104,729,45,27/06/2020,44009.00
105,768,39,28/06/2020,44010.00
106,770,2,29/06/2020,44011.00
107,780,10,30/06/2020,44012.00
108,804,24,01/07/2020,44013.00
109,819,15,02/07/2020,44014.00
110,833,14,03/07/2020,44015.00
111,869,36,04/07/2020,44016.00
112,874,5,05/07/2020,44017.00
113,891,17,06/07/2020,44018.00
114,917,26,07/07/2020,44019.00
115,926,9,08/07/2020,44020.00
116,957,31,09/07/2020,44021.00
117,963,6,10/07/2020,44022.00
118,998,35,11/07/2020,44023.00
119,1010,12,12/07/2020,44024.00
120,1024,14,13/07/2020,44025.00
121,1024,0,14/07/2020,44026.00
122,1056,32,15/07/2020,44027.00
123,1070,14,16/07/2020,44028.00
124,1085,15,17/07/2020,44029.00
125,1088,3,18/07/2020,44030.00
126,1091,3,19/07/2020,44031.00
127,1107,16,20/07/2020,44032.00
128,1108,1,21/07/2020,44033.00
129,1114,6,22/07/2020,44034.00
130,1117,3,23/07/2020,44035.00
131,1135,18,24/07/2020,44036.00
132,1155,20,25/07/2020,44037.00
133,1162,7,26/07/2020,44038.00
134,1167,5,27/07/2020,44039.00
135,1177,10,28/07/2020,44040.00
136,1179,2,29/07/2020,44041.00
137,1181,2,30/07/2020,44042.00
138,1186,5,31/07/2020,44043.00
139,1189,3,01/08/2020,44044.00
140,1189,3,02/08/2020,44045.00
141,1207,18,03/08/2020,44046.00
142,1214,7,04/08/2020,44047.00
143,1216,2,05/08/2020,44048.00
144,1221,5,06/08/2020,44049.00
145,1224,3,07/08/2020,44050.00
146,1230,6,08/08/2020,44051.00
147,1234,4,09/08/2020,44052.00
148,1237,3,10/08/2020,44053.00
149,1240,3,11/08/2020,44054.00
150,1250,10,12/08/2020,44055.00