Time,Cum_Cases,Confirmed,date,Day
1,1,1,15/03/2020,43905
2,1,0,16/03/2020,43906
3,1,0,17/03/2020,43907
4,1,0,18/03/2020,43908
5,1,0,19/03/2020,43909
6,2,1,20/03/2020,43910
7,2,0,21/03/2020,43911
8,2,0,22/03/2020,43912
9,2,0,23/03/2020,43913
10,2,0,24/03/2020,43914
11,2,0,25/03/2020,43915
12,2,0,26/03/2020,43916
13,3,1,27/03/2020,43917
14,3,0,28/03/2020,43918
15,5,2,29/03/2020,43919
16,5,0,30/03/2020,43920
17,5,0,31/03/2020,43921
18,5,0,01/04/2020,43922
19,5,0,02/04/2020,43923
20,6,1,03/04/2020,43924
21,6,0,04/04/2020,43925
22,6,0,05/04/2020,43926
23,6,0,06/04/2020,43927
24,6,0,07/04/2020,43928
25,6,0,08/04/2020,43929
26,6,0,09/04/2020,43930
27,7,1,10/04/2020,43931
28,7,0,11/04/2020,43932
29,7,0,12/04/2020,43933
30,7,0,13/04/2020,43934
31,7,0,14/04/2020,43935
32,7,0,15/04/2020,43936
33,7,0,16/04/2020,43937
34,7,0,17/04/2020,43938
35,7,0,18/04/2020,43939
36,7,0,19/04/2020,43940
37,7,0,20/04/2020,43941
38,7,0,21/04/2020,43942
39,7,0,22/04/2020,43943
40,7,0,23/04/2020,43944
41,7,0,24/04/2020,43945
42,7,0,25/04/2020,43946
43,7,0,26/04/2020,43947
44,7,0,27/04/2020,43948
45,7,0,28/04/2020,43949
46,7,0,29/04/2020,43950
47,7,0,30/04/2020,43951
48,8,1,01/05/2020,43952
49,8,0,02/05/2020,43953
50,8,0,03/05/2020,43954
51,8,0,04/05/2020,43955
52,8,0,05/05/2020,43956
53,8,0,06/05/2020,43957
54,8,0,07/05/2020,43958
55,8,0,08/05/2020,43959
56,8,0,09/05/2020,43960
57,8,0,10/05/2020,43961
58,8,0,11/05/2020,43962
59,8,0,12/05/2020,43963
60,8,0,13/05/2020,43964
61,9,1,14/05/2020,43965
62,16,7,15/05/2020,43966
63,29,13,16/05/2020,43967
64,29,0,17/05/2020,43968
65,62,33,18/05/2020,43969
66,81,19,19/05/2020,43970
67,81,0,20/05/2020,43971
68,131,50,21/05/2020,43972
69,173,42,22/05/2020,43973
70,173,0,23/05/2020,43974
71,227,54,24/05/2020,43975
72,237,10,25/05/2020,43976
73,237,0,26/05/2020,43977
74,262,25,27/05/2020,43978
75,292,30,28/05/2020,43979
76,292,0,29/05/2020,43980
77,423,131,30/05/2020,43981
78,483,60,31/05/2020,43982
79,530,47,01/06/2020,43983
80,530,0,02/06/2020,43984
81,668,138,03/06/2020,43985
82,668,0,04/06/2020,43986
83,784,116,05/06/2020,43987
84,883,99,06/06/2020,43988
85,947,64,07/06/2020,43989
86,947,0,08/06/2020,43990
87,947,0,09/06/2020,43991
88,1162,215,10/06/2020,43992
89,1162,0,11/06/2020,43993
90,1162,0,12/06/2020,43994
91,1439,277,13/06/2020,43995
92,1439,0,14/06/2020,43996
93,1783,344,15/06/2020,43997
94,1887,104,16/06/2020,43998
95,2057,170,17/06/2020,43999
96,2057,0,18/06/2020,44000
97,2223,166,19/06/2020,44001
98,2223,0,20/06/2020,44002
99,2813,590,21/06/2020,44003
100,2813,0,22/06/2020,44004
101,2984,171,23/06/2020,44005
102,2984,0,24/06/2020,44006
103,3292,308,25/06/2020,44007
104,3739,447,26/06/2020,44008
105,3739,0,27/06/2020,44009
106,3907,168,28/06/2020,44010
107,3907,0,29/06/2020,44011
108,4149,242,30/06/2020,44012
109,4149,0,01/07/2020,44013
110,4149,0,02/07/2020,44014
111,4472,323,03/07/2020,44015
112,4472,0,04/07/2020,44016
113,4827,355,05/07/2020,44017
114,4879,52,06/07/2020,44018
115,4879,0,07/07/2020,44019
116,4879,0,08/07/2020,44020
117,5024,145,09/07/2020,44021
118,5087,63,10/07/2020,44022
119,5126,39,11/07/2020,44023
120,5126,0,12/07/2020,44024
121,5126,0,13/07/2020,44025
122,5355,229,14/07/2020,44026
123,5446,91,15/07/2020,44027
124,5446,0,16/07/2020,44028
125,5446,0,17/07/2020,44029
126,5446,0,18/07/2020,44030
127,5446,0,19/07/2020,44031
128,5873,427,20/07/2020,44032
129,5923,50,21/07/2020,44033
130,5923,0,22/07/2020,44034
131,5923,0,23/07/2020,44035
132,6027,104,24/07/2020,44036
133,6067,40,25/07/2020,44037
134,6067,0,26/07/2020,44038
135,6171,104,27/07/2020,44039
136,6171,0,28/07/2020,44040
137,6171,0,29/07/2020,44041
138,6249,78,30/07/2020,44042
139,6270,21,31/07/2020,44043
140,6295,25,01/08/2020,44044
141,6310,15,02/08/2020,44045
142,6310,0,03/08/2020,44046
143,6323,13,04/08/2020,44047
144,6382,59,05/08/2020,44048
145,6382,0,06/08/2020,44049
146,6382,0,07/08/2020,44050
147,6382,0,08/08/2020,44051
148,6498,116,09/08/2020,44052
149,6498,0,10/08/2020,44053
150,6498,0,11/08/2020,44054
151,6550,52,12/08/2020,44055