"","Time","Infecteds","gamma_new"
"1",0,1,0.2
"2",1,6.0493111548152,0.2
"3",2,36.5825365284493,0.2
"4",3,220.808640705395,0.2
"5",4,1317.67082309853,0.2
"6",5,7364.74525140098,0.2
"7",6,30383.5770363476,0.2
"8",7,60785.7192927893,0.2
"9",8,66363.8958833026,0.2
"10",9,58713.1982405694,0.2
"11",10,49218.1601159851,0.2
"12",11,40647.4309301565,0.2
"13",12,33405.9120411786,0.2
"14",13,27403.2413434501,0.2
"15",14,22460.7315566863,0.2
"16",15,18402.2261872076,0.2
"17",16,15073.7764346139,0.2
"18",17,12345.7809657404,0.2
"19",18,10110.6911078592,0.2
"20",19,8279.8181515821,0.2
"21",20,6780.24806884596,0.2
"22",21,5552.13095729746,0.2
"23",22,4546.38392175445,0.2
"24",23,3722.77517869823,0.2
"25",24,3048.3386784201,0.2
"26",25,2496.06757454893,0.2
"27",26,2043.84010485673,0.2
"28",27,1673.53767727623,0.2
"29",28,1370.32159678075,0.2
"30",29,1122.03981623135,0.2
"31",30,918.740870864146,0.2
"32",31,752.27565323765,0.2
"33",32,615.970961445553,0.2
"34",33,504.362729318041,0.2
"35",34,412.976487327128,0.2
"36",35,338.148380054338,0.2
"37",36,276.878376515445,0.2
"38",37,226.709923468072,0.2
"39",38,185.63157011938,0.2
"40",39,151.996294914264,0.2
"41",40,124.455483552041,0.2
"42",0,1,0.3
"43",1,5.47365041937863,0.3
"44",2,29.9524734213734,0.3
"45",3,163.655494214891,0.3
"46",4,886.853018018494,0.3
"47",5,4601.16352762985,0.3
"48",6,19534.7793815451,0.3
"49",7,46647.0365858152,0.3
"50",8,56458.4486914723,0.3
"51",9,49243.8353197038,0.3
"52",10,38748.813082997,0.3
"53",11,29502.2040873147,0.3
"54",12,22185.9584344042,0.3
"55",13,16593.4321376634,0.3
"56",14,12376.7983157955,0.3
"57",15,9217.72288328701,0.3
"58",16,6858.78137116309,0.3
"59",17,5100.61772479088,0.3
"60",18,3791.71497846836,0.3
"61",19,2817.98045237839,0.3
"62",20,2093.93602054775,0.3
"63",21,1555.73094570984,0.3
"64",22,1155.75736709805,0.3
"65",23,858.560166441392,0.3
"66",24,637.755697163632,0.3
"67",25,473.721270098526,0.3
"68",26,351.868563328379,0.3
"69",27,261.354471105978,0.3
"70",28,194.121420259161,0.3
"71",29,144.182488599803,0.3
"72",30,107.089862402899,0.3
"73",31,79.539291487649,0.3
"74",32,59.0763075869202,0.3
"75",33,43.8776719434047,0.3
"76",34,32.5891378593195,0.3
"77",35,24.2047942483383,0.3
"78",36,17.9775040489002,0.3
"79",37,13.3523278239715,0.3
"80",38,9.91709016586215,0.3
"81",39,7.36565456849555,0.3
"82",40,5.47064103090427,0.3
"83",0,1,0.4
"84",1,4.95277044648721,0.4
"85",2,24.5238901466389,0.4
"86",3,121.284654512236,0.4
"87",4,596.261031351636,0.4
"88",5,2848.12752148262,0.4
"89",6,11972.670280237,0.4
"90",7,33269.9786640501,0.4
"91",8,47532.6067979167,0.4
"92",9,43197.531792717,0.4
"93",10,32908.0226307493,0.4
"94",11,23549.2778022217,0.4
"95",12,16436.3046818393,0.4
"96",13,11340.4514946487,0.4
"97",14,7778.01943548992,0.4
"98",15,5316.80915371506,0.4
"99",16,3627.12941308877,0.4
"100",17,2471.34657068341,0.4
"101",18,1682.51035472486,0.4
"102",19,1144.86895590062,0.4
"103",20,778.761078559738,0.4
"104",21,529.606222593214,0.4
"105",22,360.109895846585,0.4
"106",23,244.834123644346,0.4
"107",24,166.447920628144,0.4
"108",25,113.152509065669,0.4
"109",26,76.9194317281694,0.4
"110",27,52.2875711637314,0.4
"111",28,35.5430274645317,0.4
"112",29,24.1605030223524,0.4
"113",30,16.4230779767636,0.4
"114",31,11.1635201787811,0.4
"115",32,7.58833334493315,0.4
"116",33,5.15811106960091,0.4
"117",34,3.50618092741163,0.4
"118",35,2.38329345633812,0.4
"119",36,1.62002034005527,0.4
"120",37,1.10119243704235,0.4
"121",38,0.74852415531352,0.4
"122",39,0.508801409023794,0.4
"123",40,0.345852341819861,0.4
"124",0,1,0.5
"125",1,4.48145797966938,0.5
"126",2,20.0790941176261,0.5
"127",3,89.8772496069355,0.5
"128",4,400.57526874843,0.5
"129",5,1751.72590442339,0.5
"130",6,7075.33591417381,0.5
"131",7,21755.5624597336,0.5
"132",8,38054.7394903292,0.5
"133",9,38633.8478309027,0.5
"134",10,29788.4191923697,0.5
"135",11,20596.8701924289,0.5
"136",12,13613.9341267609,0.5
"137",13,8812.24792139614,0.5
"138",14,5643.29185752461,0.5
"139",15,3592.6154917959,0.5
"140",16,2279.31021516951,0.5
"141",17,1443.14232226198,0.5
"142",18,912.587273205704,0.5
"143",19,576.641765185564,0.5
"144",20,364.191837352639,0.5
"145",21,229.945265742973,0.5
"146",22,145.156757900515,0.5
"147",23,91.6218015952344,0.5
"148",24,57.826667807873,0.5
"149",25,36.4953193762298,0.5
"150",26,23.0320893223407,0.5
"151",27,14.5352132112009,0.5
"152",28,9.17285184907497,0.5
"153",29,5.78874163069972,0.5
"154",30,3.65310308212616,0.5
"155",31,2.30535807359832,0.5
"156",32,1.45483596735078,0.5
"157",33,0.918098232669616,0.5
"158",34,0.579380627312874,0.5
"159",35,0.365627296796222,0.5
"160",36,0.230734782478018,0.5
"161",37,0.145608631111943,0.5
"162",38,0.0918885135759908,0.5
"163",39,0.0579876441180331,0.5
"164",40,0.0365939800818857,0.5
"165",0,1,0.6
"166",1,4.05499585597865,0.6
"167",2,16.4398258320836,0.6
"168",3,66.5991525738572,0.6
"169",4,268.958009863574,0.6
"170",5,1072.66178667125,0.6
"171",6,4075.06421481126,0.6
"172",7,13090.8593282136,0.6
"173",8,27782.4725697808,0.6
"174",9,33820.5628310873,0.6
"175",10,28060.8929867309,0.6
"176",11,19480.6795117797,0.6
"177",12,12519.8320904946,0.6
"178",13,7763.73126843089,0.6
"179",14,4728.63875179307,0.6
"180",15,2852.48940249201,0.6
"181",16,1711.52061222917,0.6
"182",17,1023.78054440997,0.6
"183",18,611.302482741366,0.6
"184",19,364.628230589775,0.6
"185",20,217.357987156543,0.6
"186",21,129.521414754817,0.6
"187",22,77.1637020681442,0.6
"188",23,45.9651034936779,0.6
"189",24,27.3785233228473,0.6
"190",25,16.3069179253798,0.6
"191",26,9.71229481494157,0.6
"192",27,5.78448698923732,0.6
"193",28,3.44511368100453,0.6
"194",29,2.05182269865219,0.6
"195",30,1.22200948219618,0.6
"196",31,0.727793921484329,0.6
"197",32,0.433452780429207,0.6
"198",33,0.258151443957357,0.6
"199",34,0.153747220078958,0.6
"200",35,0.0915672076450594,0.6
"201",36,0.0545346482466636,0.6
"202",37,0.0324791702377119,0.6
"203",38,0.0193436039566386,0.6
"204",39,0.0115204610657795,0.6
"205",40,0.00686121407331638,0.6
"206",0,1,0.7
"207",1,3.66911519040277,0.7
"208",2,13.4601144340532,0.7
"209",3,49.3477688822167,0.7
"210",4,180.510661512293,0.7
"211",5,654.872848952055,0.7
"212",6,2306.89216409179,0.7
"213",7,7366.54238959864,0.7
"214",8,17998.3929619602,0.7
"215",9,27413.4477835477,0.7
"216",10,26411.4391714656,0.7
"217",11,19431.2476578366,0.7
"218",12,12578.1734228996,0.7
"219",13,7666.53051960075,0.7
"220",14,4535.46462291697,0.7
"221",15,2641.69321949003,0.7
"222",16,1525.75633048141,0.7
"223",17,877.130853392344,0.7
"224",18,502.931421875099,0.7
"225",19,287.946227284445,0.7
"226",20,164.721288727597,0.7
"227",21,94.1847485310241,0.7
"228",22,53.8385563687822,0.7
"229",23,30.7707886366804,0.7
"230",24,17.5851198931622,0.7
"231",25,10.0491655140848,0.7
"232",26,5.7425139962761,0.7
"233",27,3.2814584957237,0.7
"234",28,1.875114031083,0.7
"235",29,1.07148505962201,0.7
"236",30,0.612270307257617,0.7
"237",31,0.349863991217021,0.7
"238",32,0.199919444290535,0.7
"239",33,0.1142379821308,0.7
"240",34,0.065277803427054,0.7
"241",35,0.0373010289103006,0.7
"242",36,0.0213145442881379,0.7
"243",37,0.0121795476636159,0.7
"244",38,0.00695960133130956,0.7
"245",39,0.00397694652635139,0.7
"246",40,0.00227252013467872,0.7
"247",0,1,0.8
"248",1,3.31995463265114,0.8
"249",2,11.0204385054465,0.8
"250",3,36.5636999988064,0.8
"251",4,121.111956913789,0.8
"252",5,398.992572764865,0.8
"253",6,1291.35256401677,0.8
"254",7,3953.28461106867,0.8
"255",8,10354.0775328415,0.8
"256",9,19434.4114443526,0.8
"257",10,23330.7473272848,0.8
"258",11,19576.9656201746,0.8
"259",12,13418.9153056879,0.8
"260",13,8315.1364141768,0.8
"261",14,4899.49138031416,0.8
"262",15,2812.93206132275,0.8
"263",16,1592.88416526382,0.8
"264",17,895.303507229599,0.8
"265",18,501.166938147694,0.8
"266",19,279.9078365278,0.8
"267",20,156.136756734542,0.8
"268",21,87.0348154327591,0.8
"269",22,48.4968765966153,0.8
"270",23,27.0172447970774,0.8
"271",24,15.0493093696551,0.8
"272",25,8.38229789715968,0.8
"273",26,4.6686747518352,0.8
"274",27,2.60025032869345,0.8
"275",28,1.44821036929868,0.8
"276",29,0.80657631661937,0.8
"277",30,0.449218533414745,0.8
"278",31,0.250189450902279,0.8
"279",32,0.139341193364981,0.8
"280",33,0.0776050592907316,0.8
"281",34,0.0432215492415933,0.8
"282",35,0.024071923410763,0.8
"283",36,0.013406671784802,0.8
"284",37,0.00746674127476546,0.8
"285",38,0.00415850713130642,0.8
"286",39,0.00231615751168494,0.8
"287",40,0.00128996261543029,0.8
